"Trace","Admissible","Matrix","Decomposition","Length of Walk","Final Position"
18,"True","{{13, 8}, {8, 5}}","{{1, -1}, {-1, 1}, 1}",4,"{0, 0}"
66,"True","{{57, 32}, {16, 9}}","{{2, -2}, {-1, 1}, 1}",6,"{0, 0}"
66,"True","{{65, 8}, {8, 1}}","{{4}, {4}, 1}",8,"{4, 4}"
82,"False","{{61, 40}, {32, 21}}","{{1, -1}, {-5, 1}, 1}",8,"{0, -4}"
82,"False","{{61, 32}, {40, 21}}","{{1, -5}, {-1, 1}, 1}",8,"{-4, 0}"
82,"False","{{69, 56}, {16, 13}}","{{2, -1, -1}, {2, 1, 1}, 1}",8,"{0, 4}"
82,"False","{{69, 16}, {56, 13}}","{{1, 1, 2}, {-1, -1, 2}, 1}",8,"{4, 0}"
130,"False","{{97, 80}, {40, 33}}","{{1, 1, -1, -1}, {1, 1, 1, 1}, 1}",8,"{0, 4}"
130,"False","{{97, 40}, {80, 33}}","{{1, 1, 1, 1}, {-1, -1, 1, 1}, 1}",8,"{4, 0}"
130,"False","{{129, 16}, {8, 1}}","{{8}, {4}, 1}",12,"{8, 4}"
130,"False","{{129, 8}, {16, 1}}","{{4}, {8}, 1}",12,"{4, 8}"
146,"True","{{133, 72}, {24, 13}}","{{3, -3}, {-1, 1}, 1}",8,"{0, 0}"
146,"True","{{109, 72}, {56, 37}}","{{1, -1}, {-9, 1}, 1}",12,"{0, -8}"
146,"True","{{109, 56}, {72, 37}}","{{1, -9}, {-1, 1}, 1}",12,"{-8, 0}"
194,"False","{{169, 48}, {88, 25}}","{{1, -1}, {-6, 2}, 1}",10,"{0, -4}"
194,"False","{{169, 88}, {48, 25}}","{{2, -6}, {-1, 1}, 1}",10,"{-4, 0}"
194,"False","{{153, 112}, {56, 41}}","{{1, -1, 1, -1}, {1, 1, 1, 1}, 1}",8,"{0, 4}"
194,"False","{{153, 56}, {112, 41}}","{{1, 1, 1, 1}, {-1, 1, -1, 1}, 1}",8,"{4, 0}"
194,"False","{{193, 24}, {8, 1}}","{{12}, {4}, 1}",16,"{12, 4}"
194,"False","{{193, 8}, {24, 1}}","{{4}, {12}, 1}",16,"{4, 12}"
210,"False","{{157, 104}, {80, 53}}","{{1, -1}, {-13, 1}, 1}",16,"{0, -12}"
210,"False","{{157, 80}, {104, 53}}","{{1, -13}, {-1, 1}, 1}",16,"{-12, 0}"
210,"False","{{205, 64}, {16, 5}}","{{6, -1, -1}, {1, 1, 2}, 1}",12,"{4, 4}"
210,"False","{{173, 80}, {80, 37}}","{{1, 3}, {3, 1}, 1}",8,"{4, 4}"
210,"False","{{205, 16}, {64, 5}}","{{2, 1, 1}, {-1, -1, 6}, 1}",12,"{4, 4}"
210,"False","{{197, 160}, {16, 13}}","{{6, -1, -1}, {2, 1, 1}, 1}",12,"{4, 4}"
210,"False","{{197, 80}, {32, 13}}","{{3, 1}, {3, 1}, 1}",8,"{4, 4}"
210,"False","{{197, 16}, {160, 13}}","{{1, 1, 2}, {-1, -1, 6}, 1}",12,"{4, 4}"
258,"True","{{241, 128}, {32, 17}}","{{4, -4}, {-1, 1}, 1}",10,"{0, 0}"
258,"True","{{177, 128}, {112, 81}}","{{1, -1, 1, -1}, {-1, -1, 1, 1}, 1}",8,"{0, 0}"
258,"True","{{241, 64}, {64, 17}}","{{2, -2}, {-2, 2}, 1}",8,"{0, 0}"
258,"True","{{233, 104}, {56, 25}}","{{2, 2}, {3, 1}, 1}",8,"{4, 4}"
258,"True","{{233, 56}, {104, 25}}","{{1, 3}, {2, 2}, 1}",8,"{4, 4}"
258,"True","{{257, 32}, {8, 1}}","{{16}, {4}, 1}",20,"{16, 4}"
258,"True","{{257, 16}, {16, 1}}","{{8}, {8}, 1}",16,"{8, 8}"
258,"True","{{257, 8}, {32, 1}}","{{4}, {16}, 1}",20,"{4, 16}"
274,"False","{{205, 136}, {104, 69}}","{{1, -1}, {-17, 1}, 1}",20,"{0, -16}"
274,"False","{{205, 104}, {136, 69}}","{{1, -17}, {-1, 1}, 1}",20,"{-16, 0}"
274,"False","{{229, 184}, {56, 45}}","{{2, -1, -1}, {6, 1, 1}, 1}",12,"{0, 8}"
274,"False","{{229, 56}, {184, 45}}","{{1, 1, 6}, {-1, -1, 2}, 1}",12,"{8, 0}"
322,"True","{{281, 80}, {144, 41}}","{{1, -1}, {-10, 2}, 1}",14,"{0, -8}"
322,"True","{{281, 144}, {80, 41}}","{{2, -10}, {-1, 1}, 1}",14,"{-8, 0}"
322,"True","{{313, 88}, {32, 9}}","{{5, -1}, {-2, 2}, 1}",10,"{4, 0}"
322,"True","{{313, 32}, {88, 9}}","{{2, -2}, {-1, 5}, 1}",10,"{0, 4}"
322,"True","{{305, 216}, {24, 17}}","{{6, -1, -1}, {1, 2, 1}, 1}",12,"{4, 4}"
322,"True","{{233, 144}, {144, 89}}","{{1, -1, 1, -1}, {-1, 1, -1, 1}, 1}",8,"{0, 0}"
322,"True","{{305, 24}, {216, 17}}","{{1, 2, 1}, {-1, -1, 6}, 1}",12,"{4, 4}"
322,"True","{{281, 72}, {160, 41}}","{{1, -5}, {-2, 2}, 1}",10,"{-4, 0}"
322,"True","{{281, 160}, {72, 41}}","{{2, -2}, {-5, 1}, 1}",10,"{0, -4}"
322,"True","{{281, 240}, {48, 41}}","{{3, -1, -1, -1}, {-3, 1, 1, 1}, 1}",12,"{0, 0}"
322,"True","{{281, 48}, {240, 41}}","{{1, 1, 1, -3}, {-1, -1, -1, 3}, 1}",12,"{0, 0}"
322,"True","{{305, 72}, {72, 17}}","{{2, 2}, {2, 2}, 1}",8,"{4, 4}"
322,"True","{{321, 40}, {8, 1}}","{{20}, {4}, 1}",24,"{20, 4}"
322,"True","{{321, 8}, {40, 1}}","{{4}, {20}, 1}",24,"{4, 20}"
338,"False","{{309, 56}, {160, 29}}","{{1, -1}, {-7, 3}, 1}",12,"{0, -4}"
338,"False","{{309, 160}, {56, 29}}","{{3, -7}, {-1, 1}, 1}",12,"{-4, 0}"
338,"False","{{253, 168}, {128, 85}}","{{1, -1}, {-21, 1}, 1}",24,"{0, -20}"
338,"False","{{253, 128}, {168, 85}}","{{1, -21}, {-1, 1}, 1}",24,"{-20, 0}"
338,"False","{{317, 208}, {32, 21}}","{{5, -1}, {-5, 1}, 1}",12,"{4, -4}"
338,"False","{{317, 32}, {208, 21}}","{{1, -5}, {-1, 5}, 1}",12,"{-4, 4}"
338,"False","{{237, 176}, {136, 101}}","{{1, 4, -1}, {-2, 1, 1}, 1}",10,"{4, 0}"
338,"False","{{237, 136}, {176, 101}}","{{1, 1, -2}, {-1, 4, 1}, 1}",10,"{0, 4}"
338,"False","{{253, 192}, {112, 85}}","{{1, -4, -1}, {2, 1, 1}, 1}",10,"{-4, 4}"
338,"False","{{253, 112}, {192, 85}}","{{1, 1, 2}, {-1, -4, 1}, 1}",10,"{4, -4}"
338,"False","{{333, 104}, {16, 5}}","{{10, -1, -1}, {1, 1, 2}, 1}",16,"{8, 4}"
338,"False","{{301, 48}, {232, 37}}","{{1, 1, 2}, {-1, -2, 3}, 1}",10,"{4, 0}"
338,"False","{{301, 232}, {48, 37}}","{{3, -2, -1}, {2, 1, 1}, 1}",10,"{0, 4}"
338,"False","{{333, 16}, {104, 5}}","{{2, 1, 1}, {-1, -1, 10}, 1}",16,"{4, 8}"
338,"False","{{325, 264}, {16, 13}}","{{10, -1, -1}, {2, 1, 1}, 1}",16,"{8, 4}"
338,"False","{{325, 16}, {264, 13}}","{{1, 1, 2}, {-1, -1, 10}, 1}",16,"{4, 8}"
386,"False","{{345, 136}, {104, 41}}","{{2, 1, 1}, {-1, -4, 1}, 1}",10,"{4, -4}"
386,"False","{{345, 104}, {136, 41}}","{{1, -4, -1}, {1, 1, 2}, 1}",10,"{-4, 4}"
386,"False","{{313, 168}, {136, 73}}","{{1, -1, -4}, {2, 1, 1}, 1}",10,"{-4, 4}"
386,"False","{{313, 136}, {168, 73}}","{{1, 1, 2}, {-4, -1, 1}, 1}",10,"{4, -4}"
386,"False","{{385, 48}, {8, 1}}","{{24}, {4}, 1}",28,"{24, 4}"
386,"False","{{385, 24}, {16, 1}}","{{12}, {8}, 1}",20,"{12, 8}"
386,"False","{{385, 16}, {24, 1}}","{{8}, {12}, 1}",20,"{8, 12}"
386,"False","{{385, 8}, {48, 1}}","{{4}, {24}, 1}",28,"{4, 24}"
402,"True","{{381, 200}, {40, 21}}","{{5, -5}, {-1, 1}, 1}",12,"{0, 0}"
402,"True","{{301, 200}, {152, 101}}","{{1, -1}, {-25, 1}, 1}",28,"{0, -24}"
402,"True","{{301, 152}, {200, 101}}","{{1, -25}, {-1, 1}, 1}",28,"{-24, 0}"
402,"True","{{349, 136}, {136, 53}}","{{1, -2, 1}, {1, -2, 1}, 1}",8,"{0, 0}"
402,"True","{{325, 184}, {136, 77}}","{{1, 1, -2}, {1, -2, 1}, 1}",8,"{0, 0}"
450,"False","{{393, 112}, {200, 57}}","{{1, -1}, {-14, 2}, 1}",18,"{0, -12}"
450,"False","{{393, 200}, {112, 57}}","{{2, -14}, {-1, 1}, 1}",18,"{-12, 0}"
450,"False","{{337, 280}, {136, 113}}","{{1, 5, -1, -1}, {1, 1, 1, 1}, 1}",12,"{4, 4}"
450,"False","{{337, 136}, {280, 113}}","{{1, 1, 1, 1}, {-1, -1, 5, 1}, 1}",12,"{4, 4}"
450,"False","{{385, 184}, {136, 65}}","{{1, -1, -1, 5}, {1, 1, 1, 1}, 1}",12,"{4, 4}"
450,"False","{{385, 136}, {184, 65}}","{{1, 1, 1, 1}, {5, -1, -1, 1}, 1}",12,"{4, 4}"
450,"False","{{449, 56}, {8, 1}}","{{28}, {4}, 1}",32,"{28, 4}"
450,"False","{{449, 8}, {56, 1}}","{{4}, {28}, 1}",32,"{4, 28}"
466,"False","{{365, 144}, {256, 101}}","{{1, 2, 1}, {-1, -4, 1}, 1}",10,"{4, -4}"
466,"False","{{365, 256}, {144, 101}}","{{1, -4, -1}, {1, 2, 1}, 1}",10,"{-4, 4}"
466,"False","{{349, 232}, {176, 117}}","{{1, -1}, {-29, 1}, 1}",32,"{0, -28}"
466,"False","{{461, 48}, {48, 5}}","{{5, -1}, {-1, 5}, 1}",12,"{4, 4}"
466,"False","{{349, 176}, {232, 117}}","{{1, -29}, {-1, 1}, 1}",32,"{-28, 0}"
466,"False","{{389, 144}, {208, 77}}","{{1, 2, 1}, {-4, -1, 1}, 1}",10,"{4, -4}"
466,"False","{{389, 208}, {144, 77}}","{{1, -1, -4}, {1, 2, 1}, 1}",10,"{-4, 4}"
466,"False","{{389, 288}, {104, 77}}","{{2, 3, -1}, {-2, 1, 1}, 1}",10,"{4, 0}"
466,"False","{{389, 104}, {288, 77}}","{{1, 1, -2}, {-1, 3, 2}, 1}",10,"{0, 4}"
466,"False","{{365, 192}, {192, 101}}","{{1, -5}, {-5, 1}, 1}",12,"{-4, -4}"
466,"False","{{461, 144}, {16, 5}}","{{14, -1, -1}, {1, 1, 2}, 1}",20,"{12, 4}"
466,"False","{{381, 184}, {176, 85}}","{{1, 7}, {3, 1}, 1}",12,"{8, 4}"
466,"False","{{381, 176}, {184, 85}}","{{1, 3}, {7, 1}, 1}",12,"{4, 8}"
466,"False","{{461, 16}, {144, 5}}","{{2, 1, 1}, {-1, -1, 14}, 1}",20,"{4, 12}"
466,"False","{{389, 312}, {96, 77}}","{{2, -1, -1}, {10, 1, 1}, 1}",16,"{0, 12}"
466,"False","{{389, 96}, {312, 77}}","{{1, 1, 10}, {-1, -1, 2}, 1}",16,"{12, 0}"
466,"False","{{437, 176}, {72, 29}}","{{3, 1}, {7, 1}, 1}",12,"{4, 8}"
466,"False","{{453, 368}, {16, 13}}","{{14, -1, -1}, {2, 1, 1}, 1}",20,"{12, 4}"
466,"False","{{453, 16}, {368, 13}}","{{1, 1, 2}, {-1, -1, 14}, 1}",20,"{4, 12}"
466,"False","{{437, 72}, {176, 29}}","{{1, 7}, {1, 3}, 1}",12,"{8, 4}"
514,"False","{{481, 64}, {248, 33}}","{{1, -1}, {-8, 4}, 1}",14,"{0, -4}"
514,"False","{{481, 248}, {64, 33}}","{{4, -8}, {-1, 1}, 1}",14,"{-4, 0}"
514,"False","{{353, 296}, {192, 161}}","{{1, -3, -1, -1}, {-3, 1, 1, 1}, 1}",12,"{-4, 0}"
514,"False","{{353, 192}, {296, 161}}","{{1, 1, 1, -3}, {-1, -1, -3, 1}, 1}",12,"{0, -4}"
514,"False","{{497, 352}, {24, 17}}","{{10, -1, -1}, {1, 2, 1}, 1}",16,"{8, 4}"
514,"False","{{369, 304}, {176, 145}}","{{1, 1, -1, -1}, {5, 1, 1, 1}, 1}",12,"{0, 8}"
514,"False","{{369, 176}, {304, 145}}","{{1, 1, 1, 5}, {-1, -1, 1, 1}, 1}",12,"{8, 0}"
514,"False","{{497, 24}, {352, 17}}","{{1, 2, 1}, {-1, -1, 10}, 1}",16,"{4, 8}"
514,"False","{{513, 64}, {8, 1}}","{{32}, {4}, 1}",36,"{32, 4}"
514,"False","{{513, 32}, {16, 1}}","{{16}, {8}, 1}",24,"{16, 8}"
514,"False","{{513, 16}, {32, 1}}","{{8}, {16}, 1}",24,"{8, 16}"
514,"False","{{513, 8}, {64, 1}}","{{4}, {32}, 1}",36,"{4, 32}"
530,"False","{{485, 88}, {248, 45}}","{{1, -1}, {-11, 3}, 1}",16,"{0, -8}"
530,"False","{{485, 248}, {88, 45}}","{{3, -11}, {-1, 1}, 1}",16,"{-8, 0}"
530,"False","{{397, 264}, {200, 133}}","{{1, -1}, {-33, 1}, 1}",36,"{0, -32}"
530,"False","{{397, 200}, {264, 133}}","{{1, -33}, {-1, 1}, 1}",36,"{-32, 0}"
530,"False","{{493, 456}, {40, 37}}","{{6, -1, -1, -1, -1, -1, -1}, {2, 1, 1, 1, 1, 1, 1}, 1}",20,"{0, 8}"
530,"False","{{493, 152}, {120, 37}}","{{2, -1, -1}, {5, 1, 2}, 1}",12,"{0, 8}"
530,"False","{{493, 120}, {152, 37}}","{{2, 1, 5}, {-1, -1, 2}, 1}",12,"{8, 0}"
530,"False","{{493, 40}, {456, 37}}","{{1, 1, 1, 1, 1, 1, 2}, {-1, -1, -1, -1, -1, -1, 6}, 1}",20,"{8, 0}"
578,"True","{{553, 288}, {48, 25}}","{{6, -6}, {-1, 1}, 1}",14,"{0, 0}"
578,"True","{{505, 144}, {256, 73}}","{{1, -1}, {-18, 2}, 1}",22,"{0, -16}"
578,"True","{{505, 256}, {144, 73}}","{{2, -18}, {-1, 1}, 1}",22,"{-16, 0}"
578,"True","{{569, 160}, {32, 9}}","{{9, -1}, {-2, 2}, 1}",14,"{8, 0}"
578,"True","{{569, 32}, {160, 9}}","{{2, -2}, {-1, 9}, 1}",14,"{0, 8}"
578,"True","{{489, 320}, {136, 89}}","{{2, -1, -1}, {-1, -4, 1}, 1}",10,"{0, -4}"
578,"True","{{489, 136}, {320, 89}}","{{1, -4, -1}, {-1, -1, 2}, 1}",10,"{-4, 0}"
578,"True","{{529, 72}, {360, 49}}","{{1, 4, -1}, {-1, 1, 4}, 1}",12,"{4, 4}"
578,"True","{{457, 216}, {256, 121}}","{{1, -1, 4}, {-2, 1, 1}, 1}",10,"{4, 0}"
578,"True","{{457, 288}, {192, 121}}","{{1, 1, -1, -1}, {1, -1, -1, 1}, 1}",8,"{0, 0}"
578,"True","{{457, 256}, {216, 121}}","{{1, 1, -2}, {4, -1, 1}, 1}",10,"{0, 4}"
578,"True","{{529, 360}, {72, 49}}","{{4, 1, -1}, {-1, 4, 1}, 1}",12,"{4, 4}"
578,"True","{{553, 144}, {96, 25}}","{{3, -3}, {-2, 2}, 1}",10,"{0, 0}"
578,"True","{{553, 96}, {144, 25}}","{{2, -2}, {-3, 3}, 1}",10,"{0, 0}"
578,"True","{{481, 216}, {216, 97}}","{{1, 1, 2}, {2, 1, 1}, 1}",8,"{4, 4}"
578,"True","{{505, 128}, {288, 73}}","{{1, -9}, {-2, 2}, 1}",14,"{-8, 0}"
578,"True","{{505, 288}, {128, 73}}","{{2, -2}, {-9, 1}, 1}",14,"{0, -8}"
578,"True","{{521, 464}, {64, 57}}","{{4, -1, -1, -1, -1}, {4, 1, 1, 1, 1}, 1}",16,"{0, 8}"
578,"True","{{521, 232}, {128, 57}}","{{2, 2}, {7, 1}, 1}",12,"{4, 8}"
578,"True","{{521, 128}, {232, 57}}","{{1, 7}, {2, 2}, 1}",12,"{8, 4}"
578,"True","{{521, 64}, {464, 57}}","{{1, 1, 1, 1, 4}, {-1, -1, -1, -1, 4}, 1}",16,"{8, 0}"
578,"True","{{577, 72}, {8, 1}}","{{36}, {4}, 1}",40,"{36, 4}"
578,"True","{{577, 24}, {24, 1}}","{{12}, {12}, 1}",24,"{12, 12}"
578,"True","{{577, 8}, {72, 1}}","{{4}, {36}, 1}",40,"{4, 36}"
594,"False","{{445, 296}, {224, 149}}","{{1, -1}, {-37, 1}, 1}",40,"{0, -36}"
594,"False","{{445, 224}, {296, 149}}","{{1, -37}, {-1, 1}, 1}",40,"{-36, 0}"
594,"False","{{557, 368}, {56, 37}}","{{5, -1}, {-9, 1}, 1}",16,"{4, -8}"
594,"False","{{557, 56}, {368, 37}}","{{1, -9}, {-1, 5}, 1}",16,"{-8, 4}"
594,"False","{{573, 376}, {32, 21}}","{{9, -1}, {-5, 1}, 1}",16,"{8, -4}"
594,"False","{{573, 32}, {376, 21}}","{{1, -5}, {-1, 9}, 1}",16,"{-4, 8}"
594,"False","{{589, 184}, {16, 5}}","{{18, -1, -1}, {1, 1, 2}, 1}",24,"{16, 4}"
594,"False","{{589, 16}, {184, 5}}","{{2, 1, 1}, {-1, -1, 18}, 1}",24,"{4, 16}"
594,"False","{{501, 416}, {112, 93}}","{{2, 4, -1, -1}, {1, 1, 1, 1}, 1}",12,"{4, 4}"
594,"False","{{501, 224}, {208, 93}}","{{1, 1, 2}, {1, 2, 1}, 1}",8,"{4, 4}"
594,"False","{{501, 112}, {416, 93}}","{{1, 1, 1, 1}, {-1, -1, 4, 2}, 1}",12,"{4, 4}"
594,"False","{{541, 448}, {64, 53}}","{{4, 2, -1, -1}, {1, 1, 1, 1}, 1}",12,"{4, 4}"
594,"False","{{509, 208}, {208, 85}}","{{1, 2, 1}, {1, 2, 1}, 1}",8,"{4, 4}"
594,"False","{{541, 112}, {256, 53}}","{{1, 1, 1, 1}, {4, -1, -1, 2}, 1}",12,"{4, 4}"
594,"False","{{581, 472}, {16, 13}}","{{18, -1, -1}, {2, 1, 1}, 1}",24,"{16, 4}"
594,"False","{{581, 16}, {472, 13}}","{{1, 1, 2}, {-1, -1, 18}, 1}",24,"{4, 16}"
642,"False","{{505, 376}, {184, 137}}","{{1, -1, 5, -1}, {1, 1, 1, 1}, 1}",12,"{4, 4}"
642,"False","{{505, 184}, {376, 137}}","{{1, 1, 1, 1}, {-1, 5, -1, 1}, 1}",12,"{4, 4}"
642,"False","{{569, 472}, {88, 73}}","{{3, 3, -1, -1}, {1, 1, 1, 1}, 1}",12,"{4, 4}"
642,"False","{{569, 88}, {472, 73}}","{{1, 1, 1, 1}, {-1, -1, 3, 3}, 1}",12,"{4, 4}"
642,"False","{{641, 80}, {8, 1}}","{{40}, {4}, 1}",44,"{40, 4}"
642,"False","{{641, 40}, {16, 1}}","{{20}, {8}, 1}",28,"{20, 8}"
642,"False","{{641, 16}, {40, 1}}","{{8}, {20}, 1}",28,"{8, 20}"
642,"False","{{641, 8}, {80, 1}}","{{4}, {40}, 1}",44,"{4, 40}"
658,"False","{{493, 328}, {248, 165}}","{{1, -1}, {-41, 1}, 1}",44,"{0, -40}"
658,"False","{{493, 248}, {328, 165}}","{{1, -41}, {-1, 1}, 1}",44,"{-40, 0}"
658,"False","{{461, 344}, {264, 197}}","{{1, 8, -1}, {-2, 1, 1}, 1}",14,"{8, 0}"
658,"False","{{461, 264}, {344, 197}}","{{1, 1, -2}, {-1, 8, 1}, 1}",14,"{0, 8}"
658,"False","{{549, 440}, {136, 109}}","{{2, -1, -1}, {14, 1, 1}, 1}",20,"{0, 16}"
658,"False","{{549, 136}, {440, 109}}","{{1, 1, 14}, {-1, -1, 2}, 1}",20,"{16, 0}"
658,"False","{{629, 152}, {120, 29}}","{{3, 1, 4}, {-1, -1, 2}, 1}",12,"{8, 0}"
658,"False","{{629, 120}, {152, 29}}","{{2, -1, -1}, {4, 1, 3}, 1}",12,"{0, 8}"
706,"False","{{617, 176}, {312, 89}}","{{1, -1}, {-22, 2}, 1}",26,"{0, -20}"
706,"False","{{617, 312}, {176, 89}}","{{2, -22}, {-1, 1}, 1}",26,"{-20, 0}"
706,"False","{{601, 464}, {136, 105}}","{{2, 1, -2, -1}, {1, 1, 1, 1}, 1}",10,"{0, 4}"
706,"False","{{601, 232}, {272, 105}}","{{1, 1, 1, 1}, {2, -1, -2, 1}, 1}",10,"{4, 0}"
706,"False","{{689, 488}, {24, 17}}","{{14, -1, -1}, {1, 2, 1}, 1}",20,"{12, 4}"
706,"False","{{689, 24}, {488, 17}}","{{1, 2, 1}, {-1, -1, 14}, 1}",20,"{4, 12}"
706,"False","{{561, 328}, {248, 145}}","{{1, -3, -2}, {2, 1, 1}, 1}",10,"{-4, 4}"
706,"False","{{561, 248}, {328, 145}}","{{1, 1, 2}, {-2, -3, 1}, 1}",10,"{4, -4}"
706,"False","{{617, 528}, {104, 89}}","{{3, -1, -1, -1}, {-7, 1, 1, 1}, 1}",16,"{0, -4}"
706,"False","{{617, 104}, {528, 89}}","{{1, 1, 1, -7}, {-1, -1, -1, 3}, 1}",16,"{-4, 0}"
706,"False","{{633, 304}, {152, 73}}","{{2, 6}, {3, 1}, 1}",12,"{8, 4}"
706,"False","{{633, 152}, {304, 73}}","{{1, 3}, {6, 2}, 1}",12,"{4, 8}"
706,"False","{{681, 304}, {56, 25}}","{{6, 2}, {3, 1}, 1}",12,"{8, 4}"
706,"False","{{681, 152}, {112, 25}}","{{3, 1}, {6, 2}, 1}",12,"{4, 8}"
706,"False","{{705, 88}, {8, 1}}","{{44}, {4}, 1}",48,"{44, 4}"
706,"False","{{705, 8}, {88, 1}}","{{4}, {44}, 1}",48,"{4, 44}"
722,"False","{{685, 72}, {352, 37}}","{{1, -1}, {-9, 5}, 1}",16,"{0, -4}"
722,"False","{{685, 352}, {72, 37}}","{{5, -9}, {-1, 1}, 1}",16,"{-4, 0}"
722,"False","{{661, 120}, {336, 61}}","{{1, -1}, {-15, 3}, 1}",20,"{0, -12}"
722,"False","{{661, 336}, {120, 61}}","{{3, -15}, {-1, 1}, 1}",20,"{-12, 0}"
722,"False","{{709, 128}, {72, 13}}","{{5, -1}, {-3, 3}, 1}",12,"{4, 0}"
722,"False","{{709, 72}, {128, 13}}","{{3, -3}, {-1, 5}, 1}",12,"{0, 4}"
722,"False","{{541, 360}, {272, 181}}","{{1, -1}, {-45, 1}, 1}",48,"{0, -44}"
722,"False","{{541, 272}, {360, 181}}","{{1, -45}, {-1, 1}, 1}",48,"{-44, 0}"
722,"False","{{549, 424}, {224, 173}}","{{1, 2, -2, -1}, {1, 1, 1, 1}, 1}",10,"{0, 4}"
722,"False","{{549, 224}, {424, 173}}","{{1, 1, 1, 1}, {-1, -2, 2, 1}, 1}",10,"{4, 0}"
722,"False","{{573, 368}, {232, 149}}","{{1, 4, -1}, {1, -2, 1}, 1}",10,"{4, 0}"
722,"False","{{493, 336}, {336, 229}}","{{1, 4, -1}, {-1, 4, 1}, 1}",12,"{4, 4}"
722,"False","{{573, 232}, {368, 149}}","{{1, -2, 1}, {-1, 4, 1}, 1}",10,"{0, 4}"
722,"False","{{613, 288}, {232, 109}}","{{1, -1, 4}, {1, -2, 1}, 1}",10,"{4, 0}"
722,"False","{{613, 232}, {288, 109}}","{{1, -2, 1}, {4, -1, 1}, 1}",10,"{0, 4}"
722,"False","{{541, 408}, {240, 181}}","{{1, -8, -1}, {2, 1, 1}, 1}",14,"{-8, 4}"
722,"False","{{541, 240}, {408, 181}}","{{1, 1, 2}, {-1, -8, 1}, 1}",14,"{4, -8}"
722,"False","{{613, 144}, {464, 109}}","{{1, 1, 2}, {-1, -5, 2}, 1}",12,"{4, -4}"
722,"False","{{709, 96}, {96, 13}}","{{4, 1, -1}, {-1, 1, 4}, 1}",12,"{4, 4}"
722,"False","{{613, 464}, {144, 109}}","{{2, -5, -1}, {2, 1, 1}, 1}",12,"{-4, 4}"
722,"False","{{661, 80}, {504, 61}}","{{1, 1, 2}, {-1, -3, 4}, 1}",12,"{4, 0}"
722,"False","{{661, 504}, {80, 61}}","{{4, -3, -1}, {2, 1, 1}, 1}",12,"{0, 4}"
722,"False","{{581, 320}, {256, 141}}","{{1, -2, -3}, {2, 1, 1}, 1}",10,"{-4, 4}"
722,"False","{{581, 256}, {320, 141}}","{{1, 1, 2}, {-3, -2, 1}, 1}",10,"{4, -4}"
722,"False","{{717, 224}, {16, 5}}","{{22, -1, -1}, {1, 1, 2}, 1}",28,"{20, 4}"
722,"False","{{717, 64}, {56, 5}}","{{6, -1, -1}, {1, 1, 6}, 1}",16,"{4, 8}"
722,"False","{{661, 168}, {240, 61}}","{{1, -1, -8}, {1, 1, 2}, 1}",14,"{-8, 4}"
722,"False","{{589, 288}, {272, 133}}","{{1, 11}, {3, 1}, 1}",16,"{12, 4}"
722,"False","{{589, 272}, {288, 133}}","{{1, 3}, {11, 1}, 1}",16,"{4, 12}"
722,"False","{{661, 240}, {168, 61}}","{{2, 1, 1}, {-8, -1, 1}, 1}",14,"{4, -8}"
722,"False","{{717, 56}, {64, 5}}","{{6, 1, 1}, {-1, -1, 6}, 1}",16,"{8, 4}"
722,"False","{{717, 16}, {224, 5}}","{{2, 1, 1}, {-1, -1, 22}, 1}",28,"{4, 20}"
722,"False","{{661, 112}, {360, 61}}","{{1, -5}, {-3, 3}, 1}",12,"{-4, 0}"
722,"False","{{661, 360}, {112, 61}}","{{3, -3}, {-5, 1}, 1}",12,"{0, -4}"
722,"False","{{677, 544}, {56, 45}}","{{6, -1, -1}, {6, 1, 1}, 1}",16,"{4, 8}"
722,"False","{{677, 272}, {112, 45}}","{{3, 1}, {11, 1}, 1}",16,"{4, 12}"
722,"False","{{709, 576}, {16, 13}}","{{22, -1, -1}, {2, 1, 1}, 1}",28,"{20, 4}"
722,"False","{{709, 16}, {576, 13}}","{{1, 1, 2}, {-1, -1, 22}, 1}",28,"{4, 20}"
722,"False","{{677, 112}, {272, 45}}","{{1, 11}, {1, 3}, 1}",16,"{12, 4}"
722,"False","{{677, 56}, {544, 45}}","{{1, 1, 6}, {-1, -1, 6}, 1}",16,"{8, 4}"
770,"False","{{721, 96}, {368, 49}}","{{1, -1}, {-12, 4}, 1}",18,"{0, -8}"
770,"False","{{721, 368}, {96, 49}}","{{4, -12}, {-1, 1}, 1}",18,"{-8, 0}"
770,"False","{{497, 424}, {320, 273}}","{{1, -2, -1, -1, -1}, {-1, -2, 1, 1, 1}, 1}",12,"{-4, 0}"
770,"False","{{497, 320}, {424, 273}}","{{1, 1, 1, -2, -1}, {-1, -1, -1, -2, 1}, 1}",12,"{0, -4}"
770,"False","{{577, 480}, {232, 193}}","{{1, 9, -1, -1}, {1, 1, 1, 1}, 1}",16,"{8, 4}"
770,"False","{{577, 464}, {240, 193}}","{{1, 1, -1, -1}, {1, 5, 1, 1}, 1}",12,"{0, 8}"
770,"False","{{577, 240}, {464, 193}}","{{1, 1, 5, 1}, {-1, -1, 1, 1}, 1}",12,"{8, 0}"
770,"False","{{577, 232}, {480, 193}}","{{1, 1, 1, 1}, {-1, -1, 9, 1}, 1}",16,"{4, 8}"
770,"False","{{593, 328}, {320, 177}}","{{1, -1, -1, -3}, {-3, 1, 1, 1}, 1}",12,"{-4, 0}"
