trace,L_class_number,commutator_class_number,genus
14146,256,4,"[[(-6, 42, 42), (-6, 6, 102)], array([list([[13625, 11376], [624, 521]])], dtype=object)]"
14190,102,44,1
14226,80,32,1
14334,168,36,1
14402,600,48,1
14526,200,16,2
14574,66,20,1
14610,128,38,2
14658,128,10,2
14830,180,12,1
14850,216,16,1
14866,156,24,1
14958,88,28,2
14994,60,16,1
15086,120,8,2
15102,300,46,1
15122,192,16,2
15294,276,64,1
15342,112,40,1
15378,124,44,1
15426,240,44,1
15550,456,16,"[[(6, 54, 74), (10, 26, 106), (26, 26, 26)], array([list([[-29303, 14352], [-28080, 13753]]),
       list([[-15575, 624], [-624, 25]])], dtype=object)]"
15618,320,38,1
15726,94,28,1
15762,72,20,2
15806,312,8,2
15870,336,28,1
15874,462,24,2
15982,192,20,1
16018,160,12,2
16062,160,14,2
16110,100,40,1
16126,320,4,2
16130,576,20,1
16146,68,24,1
16194,160,16,"[[(-10, 10, 86)], array([list([[15833, 1328], [4304, 361]]),
       list([[15065, 1264], [13456, 1129]])], dtype=object)]"
16238,240,26,2
16274,160,6,2
16382,640,28,1
16386,320,71,1
16450,520,14,2
16494,64,20,1
16530,120,44,1
16638,240,32,2
16706,320,2,2
16830,408,72,1
16878,136,52,1
16914,120,36,"[[(-10, 30, 46)], array([list([[15941, 14152], [1096, 973]]),
       list([[12037, 10936], [5368, 4877]]),
       list([[15613, 3784], [5368, 1301]]),
       list([[15557, 13816], [1528, 1357]])], dtype=object)]"
16962,320,42,"[[(-14, 22, 46), (-6, 46, 46), (-6, 14, 94)], array([list([[10777, 9872], [6752, 6185]]),
       list([[12937, 7712], [6752, 4025]])], dtype=object)]"
17134,180,20,1
17154,144,16,2
17170,288,34,"[[(-6, 30, 66), (-6, 6, 114)], array([list([[16589, 13848], [696, 581]])], dtype=object)]"
17262,128,40,1
17298,112,48,1
17390,224,14,1
17406,224,18,"[[(10, 30, 86), (14, 30, 50)], array([list([[-27519, 10912], [-25504, 10113]]),
       list([[-17919, 6112], [-1504, 513]])], dtype=object)]"
17426,165,33,1
17598,240,22,"[[(22, 22, 42)], array([list([[-26039, 9008], [-24400, 8441]]),
       list([[-25079, 8528], [-22000, 7481]]),
       list([[-29527, 13648], [-25808, 11929]]),
       list([[-17303, 2512], [2032, -295]]),
       list([[-31623, 14768], [-30032, 14025]]),
       list([[-19623, 2192], [-18128, 2025]])], dtype=object)]"
17646,88,36,1
17682,96,24,2
17730,320,20,2
17854,380,16,1
17922,240,40,"[[(-14, 26, 42), (-10, 18, 70)], array([list([[17185, 13648], [928, 737]]),
       list([[15841, 12640], [2608, 2081]])], dtype=object)]"
18030,162,48,1
18066,144,44,1
18110,760,12,2
18174,288,44,1
18178,480,8,1
18286,160,8,2
18322,192,22,1
