"trace","L_class_number","commutator_class_number","genus"
40894,60,60.,0
40962,128,128.,0
41070,72,72.,0
41106,68,68.,0
41150,8,8.,0
41214,68,68.,0
41218,74,74.,0
41326,24,24.,0
41362,44,44.,0
41406,88,88.,0
41454,72,72.,0
41470,44,44.,0
41474,36,36.,0
41490,76,76.,0
41538,64,64.,0
41582,38,38.,0
41618,66,66.,0
41726,58,58.,0
41730,44,44.,0
41794,4,4.,0
41838,80,80.,0
41874,70,70.,0
41982,60,60.,0
42050,106,106.,0
42174,32,32.,0
42222,76,76.,0
42258,84,84.,0
42306,28,28.,0
42478,24,24.,0
42498,100,100.,0
42514,50,50.,0
42606,60,60.,0
42642,46,46.,0
42734,24,24.,0
42750,160,160.,0
42770,84,84.,0
42942,134,134.,0
42990,88,88.,0
43026,56,56.,0
43074,50,50.,0
43198,16,16.,0
43266,149,149.,0
43374,44,44.,0
43410,82,82.,0
43454,94,94.,0
43518,52,52.,0
43522,8,8.,0
43630,48,48.,0
43666,22,22.,0
43710,60,60.,0
43758,92,92.,0
43774,18,18.,0
43778,10,10.,0
43794,68,68.,0
43842,54,54.,0
43886,30,30.,0
43922,10,10.,0
44030,24,24.,0
44034,46,46.,0
44098,52,52.,0
44142,36,36.,0
44178,110,110.,0
44286,40,40.,0
44354,10,10.,0
44478,100,100.,0
44526,100,100.,0
44562,84,84.,0
44610,194,194.,0
44782,48,48.,0
44802,72,72.,0
44818,32,32.,0
44910,92,92.,0
44946,96,96.,0
45038,48,48.,0
45054,84,84.,0
45074,40,40.,0
45246,56,56.,0
45294,80,80.,0
45330,68,68.,0
45378,44,44.,0
45502,44,44.,0
45570,66,66.,0
45678,76,76.,0
45714,36,36.,0
45758,20,20.,0
45822,58,58.,0
45826,20,20.,0
45934,12,12.,0
45970,84,84.,0
46014,88,88.,0
46062,72,72.,0
46078,56,56.,0
46082,40,40.,0
46098,144,144.,0
46146,68,68.,0
46190,16,16.,0
46226,32,32.,0
46334,36,36.,0
46338,56,56.,0
46402,36,36.,0
46446,56,56.,0
46482,76,76.,0
46590,64,64.,0
46658,114,114.,0
46782,36,36.,0
46830,84,84.,0
46866,76,76.,0
46914,30,30.,0
47086,24,24.,0
47106,92,92.,0
47122,30,30.,0
47214,84,84.,0
47250,64,64.,0
47342,68,68.,0
47358,52,52.,0
47378,24,24.,0
47550,224,224.,0
47598,88,88.,0
47634,112,112.,0
47682,86,86.,0
47806,22,22.,0
47874,72,72.,0
47982,108,108.,0
48018,118,118.,0
48062,40,40.,0
48126,106,106.,0
48130,60,60.,0
48238,72,72.,0
48274,32,32.,0
48318,18,18.,0
48366,30,30.,0
48382,24,24.,0
48386,36,36.,0
48402,91,91.,0
48450,50,50.,0
48494,28,28.,0
48530,84,84.,0
48638,28,28.,0
48642,40,40.,0
48706,28,28.,0
48750,116,116.,0
48786,38,38.,0
48894,164,164.,0
48962,16,16.,0
49086,112,112.,0
49134,96,96.,0
49170,92,92.,0
49218,120,120.,0
49390,28,28.,0
49410,152,152.,0
49426,60,60.,0
49518,80,80.,0
49554,68,68.,0
49646,38,38.,0
49662,64,64.,0
49682,40,40.,0
49854,38,38.,0
49902,108,108.,0
49938,72,72.,0
49986,48,48.,0
50110,68,68.,0
50178,171,171.,0
50286,40,40.,0
50322,140,140.,0
50366,48,48.,0
50430,84,84.,0
50434,40,40.,0
50542,60,60.,0
50578,14,14.,0
50622,120,120.,0
50670,120,120.,0
50686,20,20.,0
50690,40,40.,0
50706,68,68.,0
50754,72,72.,0
50798,70,70.,0
50834,28,28.,0
50942,24,24.,0
50946,44,44.,0
51010,16,16.,0
51054,68,68.,0
51090,86,86.,0
51198,116,116.,0
51266,32,32.,0
51390,50,50.,0
51438,74,74.,0
51474,36,36.,0
51522,50,50.,0
51694,40,40.,0
51714,80,80.,0
51730,40,40.,0
51822,116,116.,0
51858,112,112.,0
51950,54,54.,0
51966,60,60.,0
51986,74,74.,0
52158,220,220.,0
52206,38,38.,0
52242,96,96.,0
52290,170,170.,0
52414,12,12.,0
52482,56,56.,0
52590,104,104.,0
52626,62,62.,0
52670,60,60.,0
52734,56,56.,0
52738,16,16.,0
52846,20,20.,0
52882,50,50.,0
52926,34,34.,0
52974,78,78.,0
52990,96,96.,0
52994,8,8.,0
53010,114,114.,0
53058,36,36.,0
53102,32,32.,0
53138,34,34.,0
53246,38,38.,0
53250,138,138.,0
53314,88,88.,0
53358,88,88.,0
53394,70,70.,0
53502,90,90.,0
53570,20,20.,0
53694,140,140.,0
53742,128,128.,0
53778,46,46.,0
53826,183,183.,0
53998,44,44.,0
54018,76,76.,0
54034,14,14.,0
54126,60,60.,0
54162,80,80.,0
54254,36,36.,0
54270,140,140.,0
54290,34,34.,0
54462,34,34.,0
54510,144,144.,0
54546,84,84.,0
54594,32,32.,0
54718,132,132.,0
54786,48,48.,0
54894,64,64.,0
54930,144,144.,0
54974,12,12.,0
55038,112,112.,0
55042,70,70.,0
55150,96,96.,0
55186,28,28.,0
55230,88,88.,0
55278,128,128.,0
55294,52,52.,0
55298,44,44.,0
55314,40,40.,0
55362,104,104.,0
55406,64,64.,0
55442,48,48.,0
55550,60,60.,0
55554,150,150.,0
55618,16,16.,0
55662,102,102.,0
55698,123,123.,0
55806,68,68.,0
55874,50,50.,0
55998,56,56.,0
56046,40,40.,0
56082,104,104.,0
56130,34,34.,0
56302,62,62.,0
56322,60,60.,0
56338,108,108.,0
56430,64,64.,0
56466,92,92.,0
56558,24,24.,0
56574,64,64.,0
56594,28,28.,0
56766,60,60.,0
56814,76,76.,0
56850,106,106.,0
56898,146,146.,0
57022,16,16.,0
57090,76,76.,0
57198,120,120.,0
57234,82,82.,0
57278,64,64.,0
57342,126,126.,0
57346,52,52.,0
57454,40,40.,0
57490,50,50.,0
57534,50,50.,0
57582,84,84.,0
57598,52,52.,0
57602,147,147.,0
57618,124,124.,0
