trace,admissible,L_class_number,commutator_class_number,walks
147602,True,80,80.0,22.9
147710,True,48,48.0,22.333333333333332
147714,True,116,116.0,21.620689655172413
147778,True,36,36.0,21.0
147822,True,180,180.0,22.31111111111111
147858,True,222,222.0,22.684684684684683
147966,True,88,88.0,22.90909090909091
148034,True,84,84.0,23.142857142857142
148158,True,52,52.0,22.76923076923077
148206,True,146,146.0,22.63013698630137
148242,True,112,112.0,23.535714285714285
148290,True,110,110.0,23.30909090909091
148462,True,120,120.0,22.4
148482,True,292,292.0,22.0
148498,True,56,56.0,21.857142857142858
148590,True,302,302.0,21.85430463576159
148626,True,108,108.0,21.85185185185185
148718,True,124,124.0,24.387096774193548
148734,True,148,148.0,23.16216216216216
148754,True,84,84.0,23.142857142857142
148926,True,224,224.0,22.678571428571427
148974,True,76,76.0,21.57894736842105
149010,True,360,360.0,21.977777777777778
149058,True,370,370.0,22.194594594594594
149182,True,28,28.0,22.857142857142858
149250,True,96,96.0,22.416666666666668
149358,True,204,204.0,22.392156862745097
149394,True,180,180.0,23.377777777777776
149438,True,96,96.0,21.166666666666668
149502,True,236,236.0,22.338983050847457
149506,True,48,48.0,21.333333333333332
149614,True,44,44.0,21.636363636363637
149650,True,152,152.0,22.210526315789473
149694,True,100,100.0,21.04
149742,True,212,212.0,22.90566037735849
149758,True,128,128.0,22.625
149762,True,88,88.0,22.5
149778,True,196,196.0,22.20408163265306
149826,True,84,84.0,23.142857142857142
149870,True,60,60.0,21.666666666666668
149906,True,52,52.0,20.923076923076923
